[05/19/22 00:09:51.701] [info    ] [imgviewer] Starting Camera Server ...
[05/19/22 00:09:51.704] [warning ] [imgviewer] [OPC UA/userland] AcceptAll Certificate Verification. Any remote certificate will be accepted.
[05/19/22 00:09:51.708] [info    ] [imgviewer] [OPC UA/channel] Connection 4 | SecureChannel 1 | SecureChannel opened with SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.00s
[05/19/22 00:09:51.709] [info    ] [imgviewer] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Closed, ConnectStatus: Good
[05/19/22 00:09:51.710] [info    ] [imgviewer] [OPC UA/client] Client Status: ChannelState: Closed, SessionState: Closed, ConnectStatus: Good
[05/19/22 00:09:51.710] [info    ] [imgviewer-ua] Using endpoint with no security
[05/19/22 00:09:51.710] [warning ] [imgviewer-ua] [OPC UA/userland] AcceptAll Certificate Verification. Any remote certificate will be accepted.
[05/19/22 00:09:51.710] [info    ] [imgviewer] Attempting to connect with username: demo
[05/19/22 00:09:51.713] [info    ] [imgviewer-ua] [OPC UA/channel] Connection 4 | SecureChannel 2 | SecureChannel opened with SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.00s
[05/19/22 00:09:51.713] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Closed, ConnectStatus: Good
[05/19/22 00:09:51.714] [info    ] [imgviewer-ua] [OPC UA/client] Rejecting UserTokenPolicy 0 (anonymous) in endpoint 0: configuration doesn't match
[05/19/22 00:09:51.714] [info    ] [imgviewer-ua] [OPC UA/client] Selected endpoint 0 in URL opc.tcp://lucas-laptop:4842 with SecurityMode None and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[05/19/22 00:09:51.715] [info    ] [imgviewer-ua] [OPC UA/client] Selected UserTokenPolicy open62541-username-policy with UserTokenType UserName and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[05/19/22 00:09:51.716] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Created, ConnectStatus: Good
[05/19/22 00:09:51.717] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Activated, ConnectStatus: Good
[05/19/22 00:09:51.717] [info    ] [imgviewer] Camera Client connected
[05/19/22 00:09:51.851] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:51.851] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:52.853] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:52.853] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:53.855] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:53.855] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:54.857] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:54.857] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:55.860] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:55.860] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:56.863] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:56.863] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:57.865] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:57.866] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:58.868] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:58.868] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:09:59.870] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:09:59.870] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:00.873] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:00.873] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:01.874] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:01.875] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:02.877] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:02.877] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:03.879] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:03.879] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:04.881] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:04.882] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:05.883] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:05.883] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:06.886] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:06.886] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:07.889] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:07.889] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:08.892] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:08.892] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:09.894] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:09.895] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:10.897] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:10.897] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:11.900] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:11.900] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:12.902] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:12.902] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:13.905] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:13.905] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:14.907] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:14.907] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/19/22 00:10:15.910] [info    ] [imgviewer] Read Image of TypeName: ByteString
[05/19/22 00:10:15.910] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

