[05/18/22 23:42:28.482] [info    ] [imgviewer] Starting Camera Server ...
[05/18/22 23:42:28.483] [warning ] [imgviewer] [OPC UA/userland] AcceptAll Certificate Verification. Any remote certificate will be accepted.
[05/18/22 23:42:28.489] [info    ] [imgviewer] [OPC UA/channel] Connection 4 | SecureChannel 1 | SecureChannel opened with SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.00s
[05/18/22 23:42:28.489] [info    ] [imgviewer] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Closed, ConnectStatus: Good
[05/18/22 23:42:28.490] [info    ] [imgviewer] [OPC UA/client] Client Status: ChannelState: Closed, SessionState: Closed, ConnectStatus: Good
[05/18/22 23:42:28.490] [info    ] [imgviewer-ua] Using endpoint with no security
[05/18/22 23:42:28.490] [warning ] [imgviewer-ua] [OPC UA/userland] AcceptAll Certificate Verification. Any remote certificate will be accepted.
[05/18/22 23:42:28.490] [info    ] [imgviewer] Attempting to connect with username: demo
[05/18/22 23:42:28.493] [info    ] [imgviewer-ua] [OPC UA/channel] Connection 4 | SecureChannel 2 | SecureChannel opened with SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.00s
[05/18/22 23:42:28.493] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Closed, ConnectStatus: Good
[05/18/22 23:42:28.495] [info    ] [imgviewer-ua] [OPC UA/client] Rejecting UserTokenPolicy 0 (anonymous) in endpoint 0: configuration doesn't match
[05/18/22 23:42:28.495] [info    ] [imgviewer-ua] [OPC UA/client] Selected endpoint 0 in URL opc.tcp://lucas-laptop:4842 with SecurityMode None and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[05/18/22 23:42:28.495] [info    ] [imgviewer-ua] [OPC UA/client] Selected UserTokenPolicy open62541-username-policy with UserTokenType UserName and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[05/18/22 23:42:28.496] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Created, ConnectStatus: Good
[05/18/22 23:42:28.497] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Activated, ConnectStatus: Good
[05/18/22 23:42:28.497] [info    ] [imgviewer] Camera Client connected
[05/18/22 23:42:28.645] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:29.647] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:30.649] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:31.651] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:32.654] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:33.657] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:34.659] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:35.661] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:36.663] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:37.667] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:38.670] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:39.673] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:40.675] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:41.677] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:42.680] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:43.683] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:44.685] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:42:45.688] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:43:07.049] [warning ] [imgviewer] Received Ctrl-C. Shutting down...
[05/18/22 23:43:07.959] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Closed, SessionState: Closed, ConnectStatus: Good
